Variable,Peaks,Min_Diff,Sugg_Input,Voltage_File,Experiment,Limit_Size
bmi,76493,-3,7,HoloVTA_pretrain,191017_NVI13_D22,False
holo,116,-109,6,HoloVTA_pretrain,191017_NVI13_D22,False
frames,2400,0,1,holostim_seq,191017_NVI13_D22,False
reward,0,0,5,holostim_seq,191017_NVI13_D22,False
bmi,2400,-1,1,holostim_seq,191017_NVI13_D22,False
holo,35,0,6,holostim_seq,191017_NVI13_D22,False
frames,72000,0,1,baseline,191017_NVI16_D22,False
reward,0,0,5,baseline,191017_NVI16_D22,False
bmi,70113,-1,7,baseline,191017_NVI16_D22,False
holo,0,0,6,baseline,191017_NVI16_D22,False
frames,75600,0,1,BMI,191017_NVI16_D22,False
reward,14,0,5,BMI,191017_NVI16_D22,False
bmi,74230,-3,7,BMI,191017_NVI16_D22,False
holo,0,0,6,BMI,191017_NVI16_D22,False
frames,89521,0,1,HoloVTA_pretrain,191017_NVI16_D22,False
reward,104,0,5,HoloVTA_pretrain,191017_NVI16_D22,False
bmi,87167,-3,7,HoloVTA_pretrain,191017_NVI16_D22,False
holo,132,-93,0,HoloVTA_pretrain,191017_NVI16_D22,False
frames,2100,0,1,holostim_seq,191017_NVI16_D22,False
reward,0,0,5,holostim_seq,191017_NVI16_D22,False
bmi,2100,-1,1,holostim_seq,191017_NVI16_D22,False
holo,31,0,6,holostim_seq,191017_NVI16_D22,False
frames,27000,0,1,baseline,191025_NVI13_D25,False
reward,0,0,5,baseline,191025_NVI13_D25,False
bmi,25902,-2,7,baseline,191025_NVI13_D25,False
holo,0,0,6,baseline,191025_NVI13_D25,False
frames,75600,0,1,BMI,191025_NVI13_D25,False
reward,9,0,5,BMI,191025_NVI13_D25,False
bmi,74120,-3,7,BMI,191025_NVI13_D25,False
holo,0,0,6,BMI,191025_NVI13_D25,False
frames,75620,0,1,HoloVTA_pretrain,191025_NVI13_D25,True
reward,101,0,5,HoloVTA_pretrain,191025_NVI13_D25,True
bmi,72388,-737,7,HoloVTA_pretrain,191025_NVI13_D25,True
holo,110,-115,6,HoloVTA_pretrain,191025_NVI13_D25,True
frames,1600,0,1,holostim_seq,191025_NVI13_D25,False
reward,0,0,5,holostim_seq,191025_NVI13_D25,False
bmi,1600,-1,1,holostim_seq,191025_NVI13_D25,False
holo,23,0,6,holostim_seq,191025_NVI13_D25,False
frames,27000,0,1,baseline,191031_NVI12_D31,False
reward,0,0,5,baseline,191031_NVI12_D31,False
bmi,26530,-2,7,baseline,191031_NVI12_D31,False
holo,0,0,6,baseline,191031_NVI12_D31,False
frames,75600,0,1,BMI,191031_NVI12_D31,False
reward,33,-5,5,BMI,191031_NVI12_D31,False
